File,Segment ID:,Station ID:,Location1 (On):,Location2 (From):,Location3 (To):,Direction:,Borough Code*:,Date,Year:,Month:,Quarter:,DOW:,Day_Type:,Start Time:,End Time:,Weather:,Speed Limit:,Type of Roadway:,Width of Road by Direction:,Number of Moving Lanes:,Number of Parking Lanes:,Min,Max,Average,5th Percentile,50th Percentile,95th Percentile,
129690_NB_raw_counts(129690 1100-1200).xlsx,135740,,Rockaway Blvd,Brookville Blvd,1st St,NB,4,2/5/2020,2020,Feb,Q1,Wed,Weekday,11:00:00,12:00:00,Dry - Clear,40,Two - Way,30',3,0,22,63,36.71,26,36,48,2020Q1
129691_WB_raw_counts(129691 1355-1428).xlsx,8838,,Victory Blvd,Collfield Ave,Bryson Ave,WB,5,2/5/2020,2020,Feb,Q1,Wed,Weekday,13:55:00,14:28:00,Dry - Clear,30,Two - Way,20',1,1,18,43,30.73,21.95,31,39.05,2020Q1
129692_EB_raw_counts(129692 1326-1348).xlsx,110824,,Victory Blvd,Goller Place,Willowbrook Park Boundary,EB,5,2/5/2020,2020,Feb,Q1,Wed,Weekday,13:26:00,13:48:00,Dry - Clear,30,Two - Way,20',2,0,18,42,31.07,24.95,31,39,2020Q1
129693_WB_raw_counts(129693 1244-1318).xlsx,5276,,Victory Blvd,Lisa Pl,Graham Ave,WB,5,2/5/2020,2020,Feb,Q1,Wed,Weekday,12:44:00,13:18:00,Dry - Clear,30,Two - Way,25',1,1,14,40,27.02,17.95,27,35,2020Q1
129694_EB_raw_counts(129694 1205-1239).xlsx,4769,,Victory Blvd,Ridgeway Ave,Baron Blvd,EB,5,2/5/2020,2020,Feb,Q1,Wed,Weekday,12:05:00,12:39:00,Dry - Clear,25,Two - Way,9',1,0,13,36,26.4,16.95,27,34,2020Q1
129695_WB_raw_counts(129695 1100-1200).xlsx,2467,,Victory Blvd,Feldmeyers Ln,Crabbs Ln,WB,5,2/5/2020,2020,Feb,Q1,Wed,Weekday,11:00:00,12:00:00,Dry - Clear,25,Two - Way,15',1,0,10,69,29.51428571,16.5,28,45.3,2020Q1
129703_EB_raw_counts(129703 0800-0845).xlsx,70991,,W 181st St ,Pinehurst Ave,Ft Washington Ave,EB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,08:00:00,08:45:00,Dry - Clear,25,Two - Way,20',1,1,11,28,18.78,12.95,19,23.05,2020Q1
129703_EB_raw_counts(129703 1200-1300).xlsx,70991,,W 181st St ,Pinehurst Ave,Ft Washington Ave,EB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,12:00:00,13:00:00,Dry - Clear,25,Two - Way,20',1,1,12,25,17.45614035,12,18,22.2,2020Q1
129703_EB_raw_counts(129703 2000-2032).xlsx,70991,,W 181st St ,Pinehurst Ave,Ft Washington Ave,EB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,20:00:00,20:32:00,Dry - Clear,25,Two - Way,20',1,1,11,27,17.1,12,18,22,2020Q1
129704_WB_raw_counts(129704 0800-0840).xlsx,70987,,W 181st St ,Ft Washington Ave,Pinehurst Ave,WB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,08:00:00,08:40:00,Dry - Clear,25,Two - Way,20',1,1,12,25,18.16,12,19,22.05,2020Q1
