File,Segment ID:,Station ID:,Location1 (On):,Location2 (From):,Location3 (To):,Direction:,Borough Code*:,Date,Year:,Month:,Quarter:,DOW:,Day_Type:,Start Time:,End Time:,Weather:,Speed Limit:,Type of Roadway:,Width of Road by Direction:,Number of Moving Lanes:,Number of Parking Lanes:,Min,Max,Average,5th Percentile,50th Percentile,95th Percentile,
144244_EB_raw_counts(22-360240-144244 EB 3- 8PM).xlsx,70991,,W 181st St,Fort Washington Ave,Pinehurst Ave,EB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,08:00PM,09:00PM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,8,25,15.47,10,15,21,2022Q4
144247_EB_raw_counts(22-360241 - 144247 EB 1 - 8AM).xlsx,80065,,E Kingsbridge Rd,Valentine Avenue,Briggs Avenue,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,08:00AM,09:00AM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,8,15,11.38235294,8,11,14,2022Q4
144247_EB_raw_counts(22-360241 - 144247 EB 2 - 12NN).xlsx,80065,,E Kingsbridge Rd,Valentine Avenue,Briggs Avenue,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,12:00PM,13:00PM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,7,23,13.61904762,7,13,20,2022Q4
144247_EB_raw_counts(22-360241 - 144247 EB 3 - 8PM).xlsx,80065,,E Kingsbridge Rd,Valentine Avenue,Briggs Avenue,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,20:00PM,21:00PM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,10,17,12.78125,10,13,16,2022Q4
144248_EB_raw_counts(22-360241 - 144248 EB 1 - 8AM).xlsx,113576,,Briggs Ave,E Kingsbridge Rd,E 194th St. ,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,08:00AM,09:00AM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,8,22,14.38235294,9.3,14,19.35,2022Q4
144248_EB_raw_counts(22-360241 - 144248 EB 2 - 12NN).xlsx,113576,,Briggs Ave,E Kingsbridge Rd,E 194th St. ,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,12:00PM,13:00PM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,10,24,16.71428571,10,16,24,2022Q4
144248_EB_raw_counts(22-360241 - 144248 EB 3 - 8PM).xlsx,113576,,Briggs Ave,E Kingsbridge Rd,E 194th St. ,EB,2,11/10/2022,2022,Nov,Q4,Thu,Weekday,20:00PM,21:00PM,Dry - Clear,25MPH,One - Way,29 ft.,1,2,12,23,16.53125,12.55,16,22,2022Q4
144251_WB_raw_counts(22-360242-144251 WB 1 - 8AM).xlsx,9005428,,Hill Street,Tompkins Avenue,Warren Street,WB,5,11/29/2022,2022,Nov,Q4,Tue,Weekday,08:00AM,09:00AM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,7,20,13.4,8,13,19.1,2022Q4
144251_WB_raw_counts(22-360242-144251 WB 2 - 12NN).xlsx,9005428,,Hill Street,Tompkins Avenue,Warren Street,WB,5,11/29/2022,2022,Nov,Q4,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,10,20,16,11.3,16,20,2022Q4
144251_WB_raw_counts(22-360242-144251 WB 3 - 8PM).xlsx,9005428,,Hill Street,Tompkins Avenue,Warren Street,WB,5,11/30/2022,2022,Nov,Q4,Wed,Weekday,08:00PM,09:00PM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,11,22,17.38461538,14,17.5,21,2022Q4
144252_EB_raw_counts(22-360242-144252 EB 1 - 8AM).xlsx,9005428,,Hill Street,Warren Street ,Tompkins Avenue,EB,5,11/29/2022,2022,Nov,Q4,Tue,Weekday,08:00AM,09:00AM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,5,14,8.105263158,5,8,14,2022Q4
144252_EB_raw_counts(22-360242-144252 EB 2 - 12NN).xlsx,9005428,,Hill Street,Warren Street,Tompkins Avenue,EB,5,11/29/2022,2022,Nov,Q4,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,1,16,8.136363636,3,8,13.85,2022Q4
144252_EB_raw_counts(22-360242-144252 EB 3 - 8PM).xlsx,9005428,,Hill Street,Warren Street,Tompkins Avenue,EB,5,11/30/2022,2022,Nov,Q4,Wed,Weekday,08:00PM,09:00PM,Dry - Clear,25MPH,Two - Way,44 ft,1,2,11,17,14.17391304,12,14,16,2022Q4
